date,hour,Average Wait Time,Max Wait Time,time
10/23/2019,0700 - 0800,31,68,487
10/23/2019,0800 - 0900,17,44,488
10/23/2019,0900 - 1000,16,47,489
10/23/2019,1000 - 1100,11,31,490
10/23/2019,1100 - 1200,17,38,491
10/23/2019,1200 - 1300,50,125,492
10/23/2019,1300 - 1400,61,137,493
10/23/2019,1400 - 1500,47,128,494
10/23/2019,1500 - 1600,31,85,495
10/23/2019,1600 - 1700,37,86,496
10/23/2019,1800 - 1900,9,23,498
10/23/2019,1900 - 2000,17,53,499
10/23/2019,2000 - 2100,14,41,500
10/23/2019,2100 - 2200,13,21,501
10/24/2019,0000 - 0100,7,18,504
10/24/2019,0800 - 0900,23,39,512
10/24/2019,0900 - 1000,6,15,513
10/24/2019,1000 - 1100,16,32,514
10/24/2019,1100 - 1200,61,110,515
10/24/2019,1200 - 1300,48,83,516
10/24/2019,1300 - 1400,21,47,517
10/24/2019,1400 - 1500,48,88,518
10/24/2019,1500 - 1600,12,29,519
10/24/2019,1600 - 1700,20,42,520
10/24/2019,1700 - 1800,25,50,521
10/24/2019,1800 - 1900,18,32,522
10/24/2019,1900 - 2000,38,90,523
10/24/2019,2000 - 2100,41,68,524
10/24/2019,2200 - 2300,9,24,526
10/24/2019,2300 - 0000,10,23,527
10/24/2019,0500 - 0600,10,25,509
10/24/2019,0600 - 0700,17,42,510
10/24/2019,0800 - 0900,10,27,512
10/24/2019,0900 - 1000,14,32,513
10/24/2019,1000 - 1100,14,43,514
